OBJECTID,UPlCodigo,UPlNombre,SHAPE_Leng,LocNombre,LocCodigo,idred,RedIntregr,SHAPE_Le_1,SHAPE_Area
72,UPZ70,JERUSALEM,0.12207114,CIUDAD BOLIVAR,19,1,Territorio Red Sur,0.12207114,0.00043765
73,UPZ36,SAN JOSE,0.05717493,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.05717493,0.00016933
74,UPZ66,SAN FRANCISCO,0.07435825,TUNJUELITO,6,1,Territorio Red Sur,0.07435825,0.00014543
75,UPZ57,GRAN YOMASA,0.14072145,USME,5,1,Territorio Red Sur,0.14072145,0.00043626
76,UPZ52,LA FLORA,0.08726529,SAN CRISTOBAL,4,3,Territorio Red Centro Oriente,0.08726529,0.00014682
77,UPZ52,LA FLORA,0.01173432,USME,5,1,Territorio Red Sur,0.01173432,6.02E-06
78,UPZ11,SAN CRISTOBAL NORTE,0.09820609,USAQUEN,1,4,Territorio Red Norte,0.09820609,0.0002242
79,UPZ14,USAQUEN,0.1336477,USAQUEN,1,4,Territorio Red Norte,0.1336477,0.00040126
80,UPZ73,GARCES NAVAS,0.12122823,ENGATIVA,10,4,Territorio Red Norte,0.12122823,0.00045205
81,UPZ74,ENGATIVA,0.12242699,ENGATIVA,10,4,Territorio Red Norte,0.12242699,0.0004786
82,UPZ25,LA FLORESTA,0.10754108,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.10754108,0.00032046
83,UPZ97,CHICO LAGO,0.10465543,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.10465543,0.00034404
84,UPZ98,LOS ALCAZARES,0.07962914,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.07962914,0.00033718
85,UPZ96,LOURDES,0.08608507,CANDELARIA,17,3,Territorio Red Centro Oriente,0.08608507,0.00016297
86,UPZ92,LA MACARENA,0.073558,CANDELARIA,17,3,Territorio Red Centro Oriente,0.073558,6.95E-05
87,UPZ94,LA CANDELARIA,0.06715641,CANDELARIA,17,3,Territorio Red Centro Oriente,0.06715641,0.00016777
88,UPZ9,VERBENAL,0.08690104,SUBA,11,4,Territorio Red Norte,0.08690104,0.00028979
89,UPZ28,EL RINCON,0.1185522,SUBA,11,4,Territorio Red Norte,0.1185522,0.00057834
90,UPZ30,BOYACA REAL,0.08043807,ENGATIVA,10,4,Territorio Red Norte,0.08043807,0.00036957
91,UPZ116,ALAMOS,0.08117443,ENGATIVA,10,4,Territorio Red Norte,0.08117443,0.00016308
92,UPZ35,CIUDAD JARDIN,0.04848404,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.04848404,0.00010849
93,UPZ38,RESTREPO,0.09543319,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.09543319,0.00028885
94,UPZ41,MUZU,0.06276576,PUENTE ARANDA,16,2,Territorio Red Sur Occidente,0.06276576,0.00020588
95,UPZ40,CIUDAD MONTES,0.07985542,PUENTE ARANDA,16,2,Territorio Red Sur Occidente,0.07985542,0.00036284
96,UPZ34,20 DE JULIO,0.0617638,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.0617638,0.00021378
97,UPZ84,BOSA OCCIDENTAL,0.10628509,KENNEDY,8,2,Territorio Red Sur Occidente,0.10628509,0.00035048
98,UPZ85,BOSA CENTRAL,0.14801612,KENNEDY,8,2,Territorio Red Sur Occidente,0.14801612,0.00058196
99,UPZ32,SAN BLAS,0.157288,SANTA FE,3,3,Territorio Red Centro Oriente,0.157288,0.00032573
100,UPZ95,LAS CRUCES,0.04261824,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.04261824,7.52E-05
101,UPZ87,TINTAL SUR,0.14547286,BOSA,7,2,Territorio Red Sur Occidente,0.14547286,0.0004698
102,UPZ1,PASEO DE LOS LIBERTADORES,0.16450556,SUBA,11,4,Territorio Red Norte,0.16450556,0.00051393
103,UPZ46,CASTILLA,0.08892227,KENNEDY,8,2,Territorio Red Sur Occidente,0.08892227,0.00040978
104,UPZ112,GRANJAS DE TECHO,0.09346924,TEUSAQUILLO,13,4,Territorio Red Norte,0.09346924,0.00038895
105,UPZ78,TINTAL NORTE,0.09470913,KENNEDY,8,2,Territorio Red Sur Occidente,0.09470913,0.00027964
106,UPZ117,AEROPUERTO EL DORADO,0.13568565,ENGATIVA,10,4,Territorio Red Norte,0.13568565,0.00060519
107,UPZ77,ZONA FRANCA,0.16996874,KENNEDY,8,2,Territorio Red Sur Occidente,0.16996874,0.00040035
108,UPZ54,MARRUECOS,0.07917853,TUNJUELITO,6,1,Territorio Red Sur,0.07917853,0.00029549
109,UPZ39,QUIROGA,0.085462,TUNJUELITO,6,1,Territorio Red Sur,0.085462,0.00030575
110,UPZ62,TUNJUELITO,0.09174657,TUNJUELITO,6,1,Territorio Red Sur,0.09174657,0.00026647
111,UPZ53,MARCO FIDEL SUAREZ,0.05669328,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.05669328,0.00015026
112,UPZ69,ISMAEL PERDOMO,0.09475742,BOSA,7,2,Territorio Red Sur Occidente,0.09475742,0.00045592
113,UPZ61,CIUDAD USME,0.24488713,USME,5,1,Territorio Red Sur,0.24488713,0.00075019
114,UPZ42,VENECIA,0.15120994,TUNJUELITO,6,1,Territorio Red Sur,0.15120994,0.00054056
118,1,UPR ZONA NORTE,0.61363375,SUBA,11,4,Territorio Red Norte,0.61363375,0.00305714
119,UPZ100,GALERIAS,0.06056277,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.06056277,0.00019347
120,UPZ83,LAS MARGARITAS,0.05809272,KENNEDY,8,2,Territorio Red Sur Occidente,0.05809272,0.00011991
121,UPZ107,QUINTA PAREDES,0.05957581,TEUSAQUILLO,13,4,Territorio Red Norte,0.05957581,0.00014166
